Unnamed: 0,Close,High,Low,Open,Volume,RSI,MACD,MA_20
2023-03-24,1005.7989501953124,1027.117362031003,1003.3795441878092,1024.9489888672188,12375945,35.10541498995798,-19.557503104358148,1051.8275390625
2023-03-27,1021.4338989257812,1028.9432703448797,1004.3838307288752,1012.28122236079,14054323,40.78583300410347,-19.082078583512384,1048.491683959961
2023-03-28,1026.2044677734375,1030.0846702786253,1021.1829653124684,1024.8349561252708,12576424,42.441376611886405,-18.111577200888405,1045.7561309814453
2023-03-29,1020.133056640625,1024.7436572444662,1009.359714078918,1022.0959186617868,18804065,40.87506691929254,-17.62914222280756,1043.7509735107421
2023-03-31,1064.116455078125,1069.7770709600843,1029.2629756900762,1029.3999027039445,28171201,54.092701320146375,-13.541617025902951,1043.457681274414
2023-04-03,1064.299072265625,1072.3106311531849,1056.7896998650788,1070.4846960590223,10293043,54.13854383808086,-10.170251844984477,1043.5809356689454
2023-04-05,1061.74267578125,1071.8540232011114,1053.8453439607506,1071.8540232011114,16262928,53.33561823999516,-7.6168976268365896,1042.2217193603515
2023-04-06,1068.864013671875,1074.5930932267388,1058.2276581630158,1058.2276581630158,18435046,55.32339216218943,-4.961520243829227,1040.686752319336
2023-04-10,1061.2861328125,1072.9496819536614,1059.779694186431,1072.7671126043012,12961408,52.74848075112277,-3.429058143430666,1038.575454711914
2023-04-11,1066.535888671875,1068.6586196822263,1060.9210357303307,1065.4631729553812,10542367,54.33417981713826,-1.7705496697960825,1038.052767944336
2023-04-12,1071.23779296875,1080.8925957399235,1063.6599579243734,1066.535787256919,18179087,55.765974736383654,-0.07589055514858956,1038.599417114258
2023-04-13,1075.27783203125,1079.9797173840186,1069.1151503508545,1074.1365320735108,12378208,57.01313367597044,1.5749809904316407,1040.219985961914
2023-04-17,1080.73291015625,1106.9814803229494,1072.333391852291,1106.9814803229494,17929479,58.70611130391109,3.285613294057839,1042.3084564208984
2023-04-18,1068.36181640625,1085.0923881243807,1061.8110548039576,1085.0923881243807,10405576,53.55493152448655,3.6015415143456266,1044.6662567138671
2023-04-19,1073.6800537109375,1076.3733137885806,1064.64142217666,1067.768405195298,12273475,55.36799932879658,4.232267266633471,1047.5444702148438
2023-04-20,1070.9638671875,1076.8755157885284,1064.595795217696,1074.638679040759,7007330,54.20418468823339,4.461518805540436,1050.35078125
2023-04-21,1072.310546875,1077.7884724738817,1066.558646510675,1073.0637661728558,7647317,54.71245317543452,4.6977157549058575,1053.7231475830079
2023-04-24,1076.4190673828125,1086.8727319946267,1071.8539885727766,1084.1794719407253,12936186,56.305752904091655,5.15698034828074,1055.738589477539
2023-04-25,1084.65869140625,1086.735779878646,1072.9952636709509,1080.0709122812248,9236126,59.391380641196626,6.115325973469453,1058.0085174560547
2023-04-26,1078.2906494140625,1089.2466212621475,1074.6158376300252,1086.0054116702795,8617834,56.094359945935814,6.288484284727929,1060.6173919677735
2023-04-27,1085.115234375,1088.2878596252956,1079.1579437194785,1084.1794457664448,9167125,58.73800693918972,6.896897325649434,1064.5832061767578
2023-04-28,1104.949951171875,1106.5021527689444,1087.2607695641375,1087.3748753991613,15565210,65.2811057410334,8.877233699618955,1068.7590087890626
2023-05-02,1114.3310546875,1116.4994278601828,1108.4194062766874,1112.1170391794085,12981805,67.8757558559337,11.075964373352917,1073.1653381347655
2023-05-03,1104.7674560546875,1116.1342091904096,1101.549188303151,1116.1342091904096,7061872,62.72900207757657,11.90948664134362,1077.3970581054687
2023-05-04,1117.503662109375,1119.717677582049,1102.2567073883076,1105.2467632974383,8635233,66.38461513492578,13.442804153204861,1080.0664184570312
2023-05-05,1114.650634765625,1123.5979821409155,1112.0258380416835,1114.3083172243437,8746585,64.85017174713803,14.263335017945792,1082.5839965820312
2023-05-08,1128.4140625,1133.7778823916174,1115.746261129747,1118.4167001177036,9153782,68.61860656963891,15.84159320681897,1085.9175659179687
2023-05-09,1131.9061279296875,1135.2158009724574,1124.4652198090143,1129.8290394334551,6464721,69.51172909830088,17.17615862318371,1089.0696716308594
2023-05-10,1139.6895751953125,1141.173192717246,1132.659447469911,1136.6766978121202,10872255,71.46133475537917,18.646920385135445,1092.98984375
2023-05-11,1132.24853515625,1145.5781493917782,1130.5365853892238,1140.762158669685,10557860,67.04724407933857,18.993138852094035,1096.2754760742187
2023-05-12,1134.097412109375,1135.4897449397138,1121.3839680276494,1127.4553650769165,6955341,67.58304249998173,19.195435369737197,1099.41845703125
2023-05-15,1136.334228515625,1143.318592964205,1128.9846046154787,1136.631024460071,6833343,68.25553085805917,19.31361388896198,1102.4712768554687
2023-05-16,1120.1514892578125,1141.0589403639667,1118.485181669263,1138.5026071786638,8717229,58.758467043534054,17.895174965919978,1104.442205810547
2023-05-17,1113.5321044921875,1125.2639949628326,1108.8302198375738,1124.3510275803587,8798967,55.36504823328493,16.05188671196629,1106.7007202148438
2023-05-18,1111.1357421875,1121.6123498838558,1107.9858169299096,1118.21139175125,10525531,54.14591206350293,14.233624714198868,1108.573504638672
2023-05-19,1114.741943359375,1116.5679991928369,1104.1968724046772,1111.1357155261294,8050447,55.72588123663277,12.934528089041123,1110.7624084472657
2023-05-22,1120.69921875,1125.7207212869755,1110.3596592183865,1111.5693019532655,7434906,58.28308396668026,12.244539561015472,1113.1818420410157
2023-05-23,1120.4937744140625,1126.6336347127256,1119.0786204739588,1123.2784399572938,6092034,58.15832886016563,11.548022624099758,1115.3855773925782
2023-05-24,1113.9658203125,1124.8076864197674,1110.861658447196,1116.545095308795,8112254,54.18919189704545,10.34996859848161,1116.8509338378906
2023-05-25,1113.8289794921875,1117.9603357408223,1102.9187697829475,1111.0672556833676,11487863,54.10583308534447,9.282457845183444,1118.6278503417968
2023-05-26,1144.2088623046875,1145.3500415058625,1118.7591533794464,1122.0687058844728,12626260,66.44635763599359,10.76377246117272,1121.5825317382812
2023-05-29,1150.6453857421875,1154.9364899661489,1144.5283465169668,1150.8279550929285,10010304,68.38593209034406,12.315137377988776,1123.8673034667968
2023-05-30,1150.3486328125,1158.451475420254,1147.7921790871794,1150.645307987406,11342504,68.19022019596026,13.366578177365454,1125.6681823730469
2023-05-31,1127.5008544921875,1145.7379850828545,1123.438083146388,1141.241490829393,27107927,55.11244730390983,12.215416109417674,1126.8048522949218
2023-06-01,1124.4652099609375,1134.3484659204855,1122.068625138698,1132.1800927726736,14592692,53.64048721617578,10.932141807428025,1127.1529296875
2023-06-02,1120.7904052734375,1133.412563645759,1118.8731857024295,1128.003101699598,15800644,51.83563040682806,9.508997842964163,1127.4599182128907
2023-06-05,1130.8563232421875,1133.8235582589482,1122.274114564264,1126.268543700321,10908682,56.18454767916906,9.08861357380647,1127.58203125
2023-06-06,1131.8148193359375,1135.6265579862757,1123.8946668621782,1133.6865172838243,7493309,56.58652491613751,8.732139962157817,1127.5774658203125
2023-06-07,1140.3970947265625,1141.241598708449,1128.733545665894,1135.3071289198083,10312545,60.11495136984425,9.037965910549474,1127.612841796875
2023-06-08,1141.081787109375,1148.9335976883085,1137.133121023714,1143.9805586437908,12071109,60.39153233848565,9.229195707940562,1128.0545043945312
2023-06-09,1133.001708984375,1145.144501301207,1131.1984746215855,1144.4369244051345,5877018,55.50036259620914,8.62927896705969,1127.9997192382812
2023-06-12,1134.006103515625,1136.311403822295,1125.2641468372988,1130.0574375493186,6391969,55.977653694036164,8.141042007699298,1127.8833129882812
2023-06-13,1150.759521484375,1151.946463788879,1134.9647365494957,1138.959165682283,11248016,63.08920062318226,9.002199760605663,1129.4137145996094
2023-06-14,1164.9107666015625,1166.3487415549168,1149.0018781974788,1150.8278129732469,13277380,67.81827483590688,10.703181089061673,1131.982647705078
2023-06-15,1165.23046875,1169.7954267696327,1157.4471223513988,1164.888030487722,11813494,67.91827850343054,11.93938849967526,1134.6873840332032
2023-06-16,1176.574462890625,1178.856942021871,1168.72265257123,1168.72265257123,24171579,71.32344747671601,13.676799667360456,1137.7790100097657
2023-06-19,1164.8880615234375,1179.5873088461865,1160.7111839901809,1179.5873088461865,6798554,63.8095359465293,13.949909736200425,1139.9884521484375
2023-06-20,1167.3074951171875,1170.457299404325,1157.2189687814275,1162.9480481347905,6921096,64.64007989327695,14.197914780676683,1142.3291381835938
2023-06-21,1170.59423828125,1173.127750027222,1163.1533304634168,1167.2617442064677,6961603,65.78869583807197,14.492611466437438,1145.1605590820313
2023-06-22,1157.4471435546875,1174.702723824018,1155.8494202932393,1166.8053921892115,7619166,57.71290262198534,13.50957012847357,1147.3414672851563
2023-06-23,1147.9749755859375,1156.4885999942844,1146.719569774206,1154.4343325060674,6628570,52.69409926170385,11.829811292066324,1147.5297729492188
2023-06-26,1139.2100830078125,1148.2715353178476,1136.0831001245697,1144.436975506937,12641159,48.49188475628994,9.679754547428956,1146.9580078125
2023-06-27,1139.62109375,1145.578264166708,1135.1474200849475,1139.666736088607,9689466,48.698488246444526,7.917713743486729,1146.421630859375
2023-06-28,1154.708251953125,1158.519990797568,1140.2600374666351,1147.1760589375283,11354006,55.71969209412636,7.6505010757641685,1147.782000732422
2023-06-30,1164.1805419921875,1167.1021346662303,1156.511421596289,1162.423070452648,11151555,59.47018435748008,8.10958550074156,1149.7677673339845
2023-07-03,1194.058349609375,1196.934300105854,1166.5087289327182,1167.7413136446191,12154387,68.5256831444584,10.760264954151808,1153.4311645507812
2023-07-04,1181.755615234375,1198.3036177471888,1174.6798459927943,1198.3036177471888,8061643,62.34835913865038,11.732969305636743,1155.9761291503905
2023-07-05,1179.8155517578125,1190.9997357239995,1175.8440646341217,1190.9997357239995,10248062,61.40826187599097,12.206587659175511,1158.3761657714845
2023-07-06,1204.5804443359375,1207.1824197013011,1175.958111582341,1175.958111582341,19117987,68.03408820899176,14.414096744001426,1161.5853332519532
2023-07-07,1202.2294921875,1216.5406584496827,1199.6730384312104,1202.8686056265724,13375267,66.86052226388448,15.791823100681995,1164.6427185058594
2023-07-10,1248.541015625,1258.1046546175523,1221.1284462814797,1227.4736968882496,33240016,75.73871682352596,20.385641083401197,1170.4196838378907
2023-07-11,1262.0760498046875,1264.495455649915,1249.7050458386786,1256.6894093813987,20069348,77.62536103398271,24.832189054755645,1176.8231811523438
2023-07-12,1263.468505859375,1279.103541836806,1260.683840337917,1262.806571231475,18733835,77.81648424845008,28.14404291639289,1182.4586303710937
2023-07-13,1252.170166015625,1277.733978890264,1249.545369524751,1270.8408996155135,14682934,72.41163508681097,29.516778314283783,1186.821600341797
2023-07-14,1251.120361328125,1260.341562579208,1243.9989491216202,1255.3657025022662,15124144,71.91184120169505,30.17216461033172,1191.1160949707032
2023-07-17,1276.68408203125,1285.0607786645128,1245.3227267228626,1253.9962192785829,22220040,76.21666665464096,32.381072737566456,1196.1215759277343
2023-07-18,1287.52587890625,1295.286283587151,1274.995004828538,1285.9509768018002,25867313,77.77257267004649,34.60755637443049,1202.253466796875
2023-07-19,1297.294921875,1303.7543992835303,1276.8210735612868,1291.8854597114334,39122156,79.09937247619699,36.7368611543875,1208.7528381347656
2023-07-20,1295.723876953125,1301.213635792283,1276.014839753512,1276.014839753512,38717624,78.29000861655801,37.861140675920524,1215.0093200683593
2023-07-21,1255.6134033203125,1293.2755748788927,1248.1205739980844,1290.3576048302098,30249238,61.100316437059796,35.110824561958225,1219.9176330566406
2023-07-24,1230.216796875,1243.8424839995955,1221.2649818512405,1227.0515368964086,23727866,53.143895899532886,30.529955017638486,1224.0297241210938
2023-07-25,1229.425537109375,1239.0203294862108,1226.556952345633,1233.4810641733905,12026020,52.91270946432196,26.529914509957507,1228.5404968261719
2023-07-26,1249.406494140625,1259.693770122974,1229.0298463901022,1229.0298463901022,12911012,57.893927785914975,24.687566929396098,1234.029766845703
2023-07-27,1237.7838134765625,1255.06933898356,1231.6758304667376,1253.2889256301971,17226898,54.29582927711621,22.0356270121149,1238.183544921875
2023-07-28,1250.2225341796875,1257.6412248805652,1236.7204929547063,1242.4081558253793,20827852,57.35078664192788,20.69904067133598,1242.48564453125
2023-07-31,1260.8065185546875,1263.1062644351005,1245.3261593927457,1250.222567835286,8551174,59.812291625691365,20.260277583303377,1245.8230529785155
2023-08-01,1242.976806640625,1265.628565172541,1239.0696780480796,1263.650247759219,9536632,54.143200503314795,18.263317773799145,1248.8841125488282
2023-08-02,1229.697509765625,1242.383422770223,1218.4458286875906,1240.998576334311,12748214,50.31793779226205,15.431302015369283,1251.3782104492188
2023-08-03,1224.529052734375,1236.893537376658,1215.700883147937,1224.2323775511124,10168350,48.87071126039129,12.624332389999836,1252.3756408691406
2023-08-04,1241.1717529296875,1244.3617658987637,1222.4024889169664,1235.8550243989196,22885610,53.50776053713788,11.60889543539065,1254.32275390625
2023-08-07,1248.2442626953125,1250.4945023600335,1238.92139273861,1246.8346631113916,5982870,55.36054660854379,11.245218880343373,1254.3079162597655
2023-08-08,1240.7265625,1253.4867351589849,1236.2259624118224,1250.2967221809697,9844072,52.94526344238924,10.232433884252032,1253.2404418945312
2023-08-09,1248.911865234375,1250.7912910864598,1227.1009863432985,1238.8472469851745,11486586,55.23527680240928,9.97529105547801,1252.5126098632813
2023-08-10,1254.475830078125,1261.177404750792,1240.6276075945868,1248.788167272386,15470598,56.775209980582254,10.10399639305706,1252.6278930664062
2023-08-11,1259.767822265625,1265.55449762201,1242.5565564009414,1252.4975295128647,22179330,58.24643478292862,10.511841873148342,1253.0602661132812
2023-08-14,1274.65478515625,1277.1524353275731,1248.8130109688743,1255.73712271286,9575812,62.14936600886412,11.899149851695256,1252.9588012695312
2023-08-16,1273.6160888671875,1277.3996937112483,1261.672044700447,1261.672044700447,10203112,61.715893546438366,12.767610246566619,1252.2633117675782
2023-08-17,1255.2425537109375,1275.0752365265755,1252.695518025622,1269.6348629683328,13673744,54.47766748413047,11.836832990806897,1250.160693359375
2023-08-18,1264.5406494140625,1274.827925208279,1240.6771930744892,1251.9041214413387,18639978,57.21254302738336,11.714427299611316,1248.6015319824219
2023-08-21,1250.74267578125,1268.3374245054663,1248.5836072167706,1260.6443643964944,9221746,52.200722011684164,10.384334604466176,1248.3579956054687
2023-08-22,1250.44482421875,1259.6517042081298,1240.319812990251,1249.204008079304,7713044,52.094633942101915,9.20013895394527,1249.3693969726562
2023-08-23,1251.8345947265625,1262.0838090060652,1249.228880766707,1252.8272476636505,9517952,52.5789060954493,8.278370334315014,1250.4898498535156
2023-08-24,1230.7904052734375,1260.6195534341234,1226.4227081001463,1260.6195534341234,14140020,45.13806446344489,5.783107780403043,1249.5590454101562
2023-08-25,1225.1075439453125,1243.2978613921046,1212.32713678729,1218.9778633049934,22222400,43.353807900405734,3.30889196662838,1248.9252319335938
2023-08-28,1212.897705078125,1232.87484375,1206.6192242506277,1226.9189266304347,12580826,39.72084926282505,0.3586913827657554,1247.0589904785156
2023-08-29,1201.2838134765625,1217.7121468384466,1195.228533637356,1217.0173382536789,16876644,36.58078361445468,-2.8832712694766087,1244.0828552246094
2023-08-30,1200.142333984375,1212.525656094156,1198.628513903965,1207.066064519438,12168946,36.27723419988865,-5.481470899305577,1241.9411315917969
2023-08-31,1194.6578369140625,1203.5917135507275,1191.133870437995,1202.599060591098,21638600,34.78373172425451,-7.892140222879561,1240.1891479492188
2023-09-01,1197.4619140625,1203.9141576589248,1192.0023233270636,1194.4343955405525,18112842,36.22927456846948,-9.467215273976763,1238.835791015625
2023-09-04,1196.494140625,1202.921543874001,1193.8140262826475,1197.4619529612137,9347626,35.93324175951463,-10.670561240375037,1236.6019104003906
2023-09-05,1202.89697265625,1208.033879307401,1197.362859390741,1201.1101487589583,8675876,39.45792891631412,-10.980984599130124,1234.3345458984375
2023-09-06,1205.4281005859375,1209.125708635972,1199.745186611218,1201.6560920331103,8200370,40.84346308137142,-10.8971410185884,1232.5696228027343
2023-09-07,1207.06591796875,1210.1679582595823,1196.6430625915527,1201.9537313347682,13652572,41.77206045598754,-10.576615561488552,1230.4773254394531
2023-09-08,1215.1064453125,1218.9778160313297,1202.5742018862825,1211.0365924741222,23109288,46.23411854679808,-9.56355080771823,1228.508856201172
2023-09-11,1228.20947265625,1229.326207160582,1216.9924464989117,1216.9924464989117,13271074,52.6076979390203,-7.615597029533774,1226.9309387207031
2023-09-12,1210.4658203125,1232.3785847782628,1209.026400892418,1232.3785847782628,16255666,44.853619650794435,-7.418083036673806,1223.7214904785155
2023-09-13,1216.52099609375,1222.278310335504,1204.2120756300535,1211.0365644667,12803338,47.68733453623269,-6.695765082091839,1220.8667358398438
2023-09-14,1217.6376953125,1223.8417758931353,1213.5181615722684,1220.9630582690309,9209636,48.21581679266899,-5.9644600223671205,1218.9864929199218
2023-09-15,1219.89599609375,1224.9336610195687,1215.7516218263509,1224.9336610195687,25468592,49.33062300939781,-5.1433798132823085,1216.7542602539063
2023-09-18,1209.274658203125,1216.4962329024152,1207.0908701058952,1211.061482045193,7516300,44.48048708947328,-5.288755551704071,1214.680859375
2023-09-20,1182.3240966796875,1204.882232531632,1168.8488809798134,1202.623922773179,57081884,35.060869568188394,-7.4922855474744665,1211.2748229980468
2023-09-21,1173.7127685546875,1186.269851496792,1171.330377450607,1178.7504333612094,12226182,32.679503367433526,-9.820259319973047,1207.3687316894532
2023-09-22,1168.823974609375,1182.4729522811776,1166.367182863141,1179.2716708437545,19176786,31.376561242556235,-11.922247868764998,1204.27041015625
2023-09-25,1161.6273193359375,1171.6779308453931,1158.9720452955405,1166.5657437194718,14254884,29.511251513400467,-14.007331079873211,1201.0963989257812
2023-09-26,1162.644775390625,1166.4664650387544,1159.2201711598177,1160.684310036077,10087782,30.143549457273565,-15.400150992135423,1198.5837524414062
2023-09-27,1175.747802734375,1177.1872222950064,1160.6595255350553,1163.1411580463557,11722778,37.87259480199527,-15.270635625407522,1197.306951904297
2023-09-28,1158.4757080078125,1182.7460248832851,1153.959088482433,1182.7460248832851,14518346,32.731626008063884,-16.372970052735127,1195.2236206054688
2023-09-29,1163.8856201171875,1175.847137006539,1158.475709840611,1162.2973995824232,12342014,35.67684197663307,-16.618475888181592,1193.685009765625
2023-10-03,1150.5592041015625,1159.2201982891547,1149.492150617653,1156.4158809171215,8859056,31.964239630373285,-17.68451534582414,1191.3398742675781
2023-10-04,1148.5738525390625,1150.981084388904,1139.1189302205564,1146.0178196869251,10286386,31.43934247005089,-18.476574129922028,1188.9438598632812
2023-10-05,1148.5491943359375,1156.1428927957072,1146.017880733707,1151.1052273242312,10953682,31.43243853642238,-18.88854079315479,1186.2264709472656
2023-10-06,1150.4847412109375,1153.8597853939605,1147.5316229908371,1150.0132553057874,5431026,32.68206690897729,-18.84165007154911,1183.4793029785155
2023-10-09,1140.6822509765625,1147.4818990309532,1139.0691900320726,1145.5711149238573,7576878,29.72722684994511,-19.37215770070793,1180.1601196289062
2023-10-10,1145.719970703125,1150.435072150941,1143.4121010954177,1144.8018394410435,10236032,33.076021236754244,-19.165162871283655,1176.6907958984375
2023-10-11,1163.910400390625,1166.2182699823193,1148.0031129607796,1148.722762099973,9814118,43.538761223448866,-17.33349261251783,1173.4758422851562
2023-10-12,1166.0693359375,1171.0078811502246,1160.485663265934,1163.3148210249558,12554450,44.644882782650015,-15.528667863449073,1171.2560180664063
2023-10-13,1166.019775390625,1170.0896281233202,1156.0187245288932,1161.4039150831682,10150316,44.623270783048426,-13.94162005109797,1168.73095703125
2023-10-16,1163.4140625,1168.6254903286665,1159.418610263332,1163.885548402189,5929036,43.43280665526572,-12.747190798495467,1166.019775390625
2023-10-17,1168.972900390625,1171.18152891328,1162.0491704758838,1169.3451452373686,7928180,46.6996414673787,-11.22267721274875,1163.4736206054688
2023-10-18,1153.4627685546875,1174.8048077319042,1151.9737890772074,1168.9729714451066,8918320,39.7941046514585,-11.137639453417933,1160.6830261230468
2023-10-19,1144.603271484375,1152.37085365543,1142.0472385636656,1147.5068298823098,12032556,36.47614503775633,-11.650830269198877,1158.7969848632813
2023-10-20,1141.104248046875,1148.846868358942,1139.7145096810816,1141.5508934053469,8913312,35.22689550713939,-12.199254227925394,1157.1665588378905
2023-10-23,1123.2860107421875,1144.6528889030683,1119.340239652529,1136.5875839948085,7853962,29.656751647533227,-13.911306126128466,1154.8896606445312
2023-10-25,1120.680419921875,1132.2200112886635,1113.2603628260954,1116.7594889591046,11620688,28.93620876925975,-15.301977324048949,1152.8423156738281
2023-10-26,1105.07080078125,1120.7050833883056,1101.993601137725,1117.2307983645155,15222534,25.015097047800936,-17.462364805728384,1149.9636169433593
2023-10-27,1124.5765380859375,1128.3982276638756,1109.761144511754,1111.7712909465938,11771084,36.580148195407375,-17.399961539938204,1147.4050537109374
2023-10-30,1147.7550048828125,1153.9590859902871,1126.6362885582769,1128.6464350717906,16813304,47.03403173156825,-15.303785430067592,1146.8690185546875
2023-10-31,1135.5452880859375,1155.448028104718,1133.0636557231696,1155.448028104718,12808438,43.0119818072029,-14.46107459923519,1145.452001953125
2023-11-01,1140.2603759765625,1150.236586425296,1129.2419526519689,1136.1656826268284,10309190,44.96907256706253,-13.259900132530674,1144.937060546875
2023-11-02,1151.57666015625,1153.6116471680004,1145.4966608528323,1148.4746196953226,10562104,49.455494358336885,-11.264975528812101,1145.0872009277343
2023-11-03,1151.3284912109375,1158.897469898072,1149.3680258840427,1155.0509397455935,8850156,49.36045561123855,-9.593421575339107,1145.2261657714844
2023-11-06,1160.9075927734375,1161.4039192346488,1154.256866662586,1157.5822297180116,10647304,53.10640343531845,-7.4103279364319405,1145.7473083496093
2023-11-07,1153.3634033203125,1160.9572220726066,1151.2540159543112,1158.4507493206686,6960204,49.97121033748693,-6.217294438546787,1146.381365966797
2023-11-08,1159.3690185546875,1161.9003321646271,1152.3460470752768,1157.4333936812943,7884494,52.381254261756794,-4.732648808247177,1147.063818359375
2023-11-09,1146.787109375,1159.3689122452763,1143.6353879313751,1159.344192861405,14513610,47.246194310961705,-4.519216652879322,1146.2076538085937
2023-11-10,1148.9461669921875,1149.6659373563402,1140.5831381668131,1144.3055869187945,7734954,48.18489763337815,-4.128264166785357,1145.351495361328
2023-11-13,1148.79736328125,1153.7606282722284,1147.3579437297892,1152.9167762849927,3854810,48.12134310311739,-3.786786997450008,1144.4903747558594
2023-11-15,1169.5684814453125,1172.2982770196893,1154.9516911953865,1161.4039352802763,12220648,56.70552394787061,-1.8191383417499765,1144.798095703125
2023-11-16,1171.6778564453125,1178.353423134986,1164.8533675821152,1166.9131951067154,13134910,57.475066047138704,-0.08853311757729898,1144.9333435058593
2023-11-17,1169.121826171875,1177.9067803474445,1167.384683548377,1167.8064883385834,7758634,56.17214591993758,1.0644632398627891,1145.7162963867188
