Unnamed: 0,Close,High,Low,Open,Volume,RSI,MACD,MA_20,Return,MA_20_ratio,Close_Open,High_Low,Volume_ratio,Volatility,Momentum_Factor,Market_Regime,Date,Sentiment,Event,RAG_Sentiment,RAG_Relevance,RAG_Event_Importance,RAG_Market_Impact,RAG_Risk_Score,RAG_Confidence,Target
2023-06-27,1139.62109375,1145.578264166708,1135.1474200849475,1139.666736088607,9689466,48.698488246444526,7.917713743486729,1146.421630859375,0.0003607857306724416,-0.0059319685936815025,-4.0048846879248146e-05,0.009188977481867422,-0.09037946099938143,0.0081624696453465,1,0,2023-06-27,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-28,1154.708251953125,1158.519990797568,1140.2600374666351,1147.1760589375283,11354006,55.71969209412636,7.650501075764168,1147.782000732422,0.01323874951584103,0.006034465792531529,0.006565856179541196,0.01601385011396328,0.0854825882002177,0.008335728192610992,1,0,2023-06-28,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-06-30,1164.1805419921875,1167.1021346662303,1156.511421596289,1162.423070452648,11151555,59.47018435748008,8.10958550074156,1149.7677673339845,0.00820318900730177,0.012535378941455733,0.0015119035265318548,0.00915746517688798,0.0729173820456237,0.008817518050515085,1,0,2023-06-30,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-07-03,1194.058349609375,1196.934300105854,1166.5087289327182,1167.7413136446191,12154387,68.5256831444584,10.760264954151808,1153.4311645507812,0.025664238955634522,0.035222895225322404,0.02253670025822596,0.026082591941659183,0.3222851301227916,0.011737865680205482,0,3,2023-07-03,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-07-04,1181.755615234375,1198.3036177471888,1174.6798459927943,1198.3036177471888,8061643,62.34835913865038,11.732969305636743,1155.9761291503903,-0.010303294122121165,0.022301054004403964,-0.013809523953473568,0.020110817287776417,-0.13485580057171798,0.011778633499163433,0,3,2023-07-04,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-07-05,1179.8155517578125,1190.9997357239995,1175.8440646341217,1190.9997357239995,10248062,61.40826187599097,12.206587659175511,1158.3761657714845,-0.0016416790845353857,0.018508138046891887,-0.009390584758936282,0.012889184497940853,0.061869512962630546,0.011817054779274319,1,3,2023-07-05,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-07-06,1204.5804443359375,1207.1824197013011,1175.958111582341,1175.958111582341,19117987,68.03408820899176,14.414096744001426,1161.5853332519532,0.02099047816519084,0.03701416491168663,0.02433958528937996,0.026552228188592153,0.7593347343296457,0.013397322639485463,0,3,2023-07-06,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,0
2023-07-07,1202.2294921875,1216.5406584496827,1199.6730384312104,1202.8686056265724,13375267,66.86052226388448,15.791823100681995,1164.6427185058594,-0.0019516771665121224,0.032273222580965655,-0.0005313243990929806,0.01406018096441497,0.16894085724801666,0.012604121633967838,1,3,2023-07-07,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-07-10,1248.541015625,1258.1046546175523,1221.1284462814797,1227.4736968882496,33240016,75.73871682352596,20.385641083401197,1170.4196838378907,0.03852136695901098,0.0667464268295146,0.017163152897009315,0.030280359489348374,1.3568871712707673,0.015869861379924643,1,1,2023-07-10,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
2023-07-11,1262.0760498046875,1264.495455649915,1249.7050458386786,1256.6894093813987,20069348,77.62536103398271,24.832189054755645,1176.8231811523438,0.01084068045046327,0.0724432268311237,0.004286373691921419,0.011835120503422836,0.35181956007964543,0.014817492493589822,0,1,2023-07-11,0.1675,0,0.1675,0.3832,0.5,0.0321,0.0,0.3519,1
